fraction,repeat,model,target,feature_set,data_module,correction_module,n_splits_used,n_splits_requested,n_effective_bins,n_bins_raw,n_bins_merged,bins_merged,n_train_full,n_train_sub,rmse_mean,rmse_std,r2_mean,r2_std,mae_mean,mbe_mean,slope_mean
0.2,0,ert,T,Liquid,augmented,none,5,5,13,222,13,1,1730,463,47.84601836015298,6.617415676855909,0.87562730919385,0.04091375304811993,31.905912513292396,1.2392027507498538,1.054279974588176
0.2,0,ert,P,Liquid,augmented,none,5,5,13,222,13,1,1730,463,2.89834981968545,0.6817212363063422,0.8527053730405978,0.05522160611148265,1.8528502642682934,0.1406342843219494,1.0681474025081932
0.2,0,stacking,T,Liquid,augmented,none,5,5,13,222,13,1,1730,463,48.54481673730861,6.670245852089941,0.8717723019360779,0.04248392282419195,32.49314047395806,1.405749513985428,1.044850602736434
0.2,0,stacking,P,Liquid,augmented,none,5,5,13,222,13,1,1730,463,2.9293302413845277,0.6893073286267893,0.8496377176747145,0.0560474541805283,1.8775313758687857,0.14766695562409007,1.051369935750397
0.4,0,ert,T,Liquid,augmented,none,5,5,34,222,34,1,1730,792,41.77710364076053,6.65801607812953,0.8934202212157161,0.035789422206913724,26.82807318456658,2.7006152757866952,1.051574689226486
0.4,0,ert,P,Liquid,augmented,none,5,5,34,222,34,1,1730,792,2.5168207266948706,0.44493563229501476,0.8762968970259267,0.03506742883963318,1.5633163658907299,0.12209870765081729,1.0821593666746696
0.4,0,stacking,T,Liquid,augmented,none,5,5,34,222,34,1,1730,792,42.63282643863555,6.896912974645543,0.8889452713410737,0.03767477691934189,27.62189822353546,2.856437996161239,1.0366341307676827
0.4,0,stacking,P,Liquid,augmented,none,5,5,34,222,34,1,1730,792,2.5328372343245227,0.45822978314437923,0.8747646401759852,0.035527012922022615,1.5704446170791495,0.12249657585587652,1.0662606145113482
0.6,0,ert,T,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,35.780564982681554,1.3464215532985369,0.9189560656454774,0.006049189335218955,23.139990080089337,1.610868431902095,1.0491945862300098
0.6,0,ert,P,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,2.2539050557339753,0.24353780773461636,0.8986382865052484,0.027050485032377867,1.326812667581541,0.073058396152206,1.064284736767811
0.6,0,stacking,T,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,36.25858697128814,1.2047798088614567,0.9168493851357772,0.004389088915719283,23.517393184991505,1.6904683678301162,1.0333304517847046
0.6,0,stacking,P,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,2.28976615590702,0.23081891049947548,0.8954684300845788,0.027653115026195264,1.3251796902039659,0.0841335009299048,1.0472002203919226
0.8,0,ert,T,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,33.77450466532107,1.6116888364227568,0.925392021444513,0.007076908352897924,21.566353790171707,0.7657748414776514,1.0482456293693878
0.8,0,ert,P,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,2.1044585025832467,0.08622458544416059,0.9094036379317177,0.009085884395270725,1.2411029208435251,0.08830793223890351,1.0594588096758568
0.8,0,stacking,T,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,34.51658578820965,1.3476604731651354,0.9220492276476622,0.007427851208434718,22.078838368257024,0.8992380235093715,1.0288545229151935
0.8,0,stacking,P,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,2.131740846976787,0.10071351194008131,0.9069498382543335,0.010786666769704016,1.23221201234603,0.09230369980224096,1.0358059347987665
1.0,0,ert,T,Liquid,augmented,none,5,5,84,222,84,1,1730,1730,31.786713343234986,5.608908829926228,0.9296965997005758,0.020651393704726285,20.109212790522374,1.1021481716841293,1.0450635787689662
1.0,0,ert,P,Liquid,augmented,none,5,5,84,222,84,1,1730,1730,1.9981186446670756,0.15002214941389946,0.9131657103660418,0.011888313564521469,1.1398428796959141,0.08165027221688519,1.0601781172371216
1.0,0,stacking,T,Liquid,augmented,none,5,5,84,222,84,1,1730,1730,32.650861763758364,5.0527408618947245,0.9260354873776588,0.018292699175415806,20.64549537114494,1.2929162990251828,1.0230590644714048
1.0,0,stacking,P,Liquid,augmented,none,5,5,84,222,84,1,1730,1730,2.038944197576981,0.1277299821558846,0.9097581755264738,0.009626985036544519,1.1445141759758146,0.0837186274888696,1.0358585867948742
0.2,1,ert,T,Liquid,augmented,none,5,5,13,222,13,1,1730,463,45.57335897276097,7.716826618935389,0.88892625624839,0.030875177071878028,30.47413204283726,0.34148341382076514,1.058749102831134
0.2,1,ert,P,Liquid,augmented,none,5,5,13,222,13,1,1730,463,2.7273641435652705,0.3516489923989028,0.8687132564919914,0.02808045243265353,1.786162511489843,0.13516720792748624,1.0761027422503642
0.2,1,stacking,T,Liquid,augmented,none,5,5,13,222,13,1,1730,463,46.31259611886294,8.048412461721101,0.8848902236193196,0.03427995438225606,31.13859410344913,0.3779783681899608,1.0456983385973047
0.2,1,stacking,P,Liquid,augmented,none,5,5,13,222,13,1,1730,463,2.7172867695839686,0.36490715281301384,0.8701271270208573,0.026259144328584675,1.7789523994108305,0.13238447024584474,1.0606475592613454
0.4,1,ert,T,Liquid,augmented,none,5,5,34,222,34,1,1730,792,39.40150583409345,4.644849456674573,0.9057999257825463,0.025709703911031924,25.83011342875283,1.9233846609334744,1.0699284957421036
0.4,1,ert,P,Liquid,augmented,none,5,5,34,222,34,1,1730,792,2.492399982646046,0.3467159531528656,0.8792426578301011,0.030246320692129083,1.5390154992534812,0.08244374729004944,1.0753851432991761
0.4,1,stacking,T,Liquid,augmented,none,5,5,34,222,34,1,1730,792,40.25188164439406,4.974993601054118,0.9016350869306556,0.027505797190810963,26.350426102335227,2.155348326051148,1.0569675604245672
0.4,1,stacking,P,Liquid,augmented,none,5,5,34,222,34,1,1730,792,2.5886277595348735,0.3516925311218147,0.8698729528362387,0.03134546538803022,1.5867094128877026,0.07328336476367878,1.054825459186557
0.6,1,ert,T,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,36.198219400956745,2.9467363963176165,0.9171254454020594,0.011691624147069804,23.329491668602138,0.9849478267915497,1.0461670357288086
0.6,1,ert,P,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,2.2653853899230203,0.19715369349814044,0.8993951054374062,0.010440188710060862,1.3271945435401005,0.08314903063523171,1.0587326769556618
0.6,1,stacking,T,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,37.21828824505601,3.072923089166557,0.9123767418307368,0.012521887669281959,23.758517356132682,1.113103836574816,1.0297901997795285
0.6,1,stacking,P,Liquid,augmented,none,5,5,64,222,64,1,1730,1139,2.3246607289805565,0.1736161706194424,0.8940658758127886,0.008616202566188192,1.3407002654855593,0.08859003195249014,1.0348546552647293
0.8,1,ert,T,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,33.48096609134674,1.9126681649847241,0.9266568614022666,0.010607247665204794,21.34943856757777,1.4222740262820914,1.0450465358910703
0.8,1,ert,P,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,2.094151261292457,0.23490443064370253,0.9096544741099937,0.019653033361847923,1.2559491657058248,0.04016315801600466,1.0567522436591639
0.8,1,stacking,T,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,34.12551871148018,2.3143010464146783,0.9237023461941305,0.012672339644485574,21.83576540943771,1.800676208627729,1.025677056424641
0.8,1,stacking,P,Liquid,augmented,none,5,5,74,222,74,1,1730,1468,2.1376476208191635,0.28183893604685845,0.9054696842524448,0.0236844507150795,1.2671904786531607,0.027867045711960546,1.0279680924427146
1.0,1,ert,T,Liquid,augmented,none,5,5,84,222,84,1,1730,1730,31.459555518285935,2.09368835431051,0.9313562383783734,0.009637633794885305,19.861462534415132,1.0731695641792443,1.0399771516532819
1.0,1,ert,P,Liquid,augmented,none,5,5,84,222,84,1,1730,1730,1.9628211288023714,0.1711932256352539,0.9160121908658901,0.0142165008785596,1.1306539617739821,0.09365488343208678,1.0629778611399432
1.0,1,stacking,T,Liquid,augmented,none,5,5,84,222,84,1,1730,1730,32.27280111995227,1.6682142001237918,0.9279095300412458,0.007833410227971934,20.424060062658192,1.2636114091026325,1.0204020743870705
